smile,Polarizability,split
Cc1noc(C2CCN(c3nnc([C@H]4CCC(=O)N4)n3CC(=O)NCC(F)F)CC2)n1,249.76,train
CCOC(=O)CN(CC)C(=O)C[C@@H]1C=CCCC1,163.93,train
C[C@H]1COCCN1c1nnc(C(=O)Nc2ccccn2)n1Cc1cccc(COCC(F)(F)F)c1,306.45,train
CC[C@H](CO)C(=O)N[C@@H]1C[C@H]1[C@@H]1C[C@H]1C,141.44,train
CC(C)[C@H](C)SCc1ccccc1,149.95,train
COc1cc(C(=O)N2CC(NC(=O)c3ccn(C)c(=O)c3)C2)sn1,225.49,train
CC(C)C(=O)N1CCCN(c2nnc(C(=O)Nc3ccccn3)n2C[C@@H]2CCCO[C@H]2C(C)C)CC1,348.0,train
O=S(=O)(N[C@H](CO)CCF)C1CC1,107.49,train
O=C(NCCO)c1sccc1C1CC1,136.92,train
C[C@@H](O)CN(C)C(=O)c1ccc(Cl)s1,143.63,train
COCCCCCn1c([C@@H]2CCCN(C(=O)OC(C)(C)C)C2)nnc1N1CCC[C@@H](NC(C)=O)C1,321.92,train
CCOCc1cccc(NC(=O)C(=O)N(C)Cc2ccc(OCC)cc2)c1,267.96,train
COCCO[C@@H](C)c1nnc(N2CCC([C@H]3CCOC3)CC2)n1Cc1cccc(C(=O)N(C)C)c1,328.48,train
CN(C(=O)CC1CCCC1)[C@@H]1CCCN(C(=O)CC2CCCC2)CC1,241.63,train
CC(=O)[C@@H](C)OC(=O)[C@@]1(C)CCCO1,116.39,train
COCC(=O)N[C@@H](C)[C@@H]1CCN(C(=O)c2cnn3ccncc23)C1,212.68,train
CC1(C)CN(C(=O)Nc2ccc(NC(=O)NCc3ccco3)cc2)[C@@H]1[C@@H]1CCCO1,288.22,train
CCc1[nH]ccc1C(=O)OCC(=O)c1cnn(C)c1,169.13,train
CC[C@@H](F)C(=O)OC[C@@H]1CCCCO1,116.93,train
O=C(COC1CCCCC1)Nc1ccncc1F,157.44,train
C=CS(=O)(=O)N1CCC[C@H](CF)C1,115.06,train
COc1ccccc1[C@H](NC(=O)N1CCN(C2CCC2)CC1)c1ccco1,250.34,train
O=C(NC/C=C/Cl)C1(F)CCOCC1,120.41,train
CCC(=O)N[C@@H]1CCCN(c2nnc([C@@H](C)Oc3cccc(C)c3C)n2CC2(O)CCOCC2)C1,323.13,train
CCS[C@@H]1CCCC[C@@H]1NC(=O)CCC(F)F,159.38,train
CC(=O)N1CCN(c2nnc([C@H]3C[C@@H](NC(=O)OC(C)(C)C)C3)n2Cc2cccc(C)c2)[C@@H](C)C1,325.87,train
COc1cc(/C=C/c2onc(C)c2[N+](=O)[O-])ccc1OCC(=O)Nc1ccc2ccccc2c1,371.64,train
CC(C)Oc1cccc(Cn2nnnc2N(C)C[C@@H]2CCCOC2)c1,233.23,train
C=C(C)Cn1c(Cc2ccccc2F)nnc1N1CCO[C@@H](c2cccc(F)c2)C1,269.73,train
Cc1ccc(NC(=O)c2nnc(N3CCC(C#N)CC3)n2CCCN2C[C@@H](C)O[C@H](C)C2)cc1C,340.58,train
O=C(NCC1CC(NC(=O)[C@@H]2CCNC(=O)C2)C1)c1cscn1,209.69,train
O=C([C@@H]1CCCS1)N1CC[C@@H](F)C1,120.67,train
Cc1cccc([C@@H](C)Cn2c(C(=O)NC(C)C)nnc2N2CCC(C(=O)NCC(F)(F)F)CC2)c1,311.44,train
CC(=O)N1CCN(c2nnc([C@H]3C[C@@H](NC(=O)OC(C)(C)C)C3)n2CCCCOC(C)C)[C@@H](C)C1,327.82,train
CC[C@@H](NC(=O)[C@@H]1CC1(F)F)c1ncc[nH]1,125.76,train
C/C(=C/C(=O)N1CC(O)(C(C)C)C1)c1cccs1,196.94,train
CCC(CC)CSc1nc(C)co1,138.66,train
C#CCCNC(=O)Cn1cc(C(=O)OC)nn1,141.38,train
CC[C@H](C)NC(=O)CCn1c(-c2ccccc2OC)nnc1N1CCc2c(ccnc2N(C)C)C1,338.7,train
CC(C)CNC(=S)N1CCCSCC1,159.71,train
O=C(CCCF)NC[C@H]1CCCC1=O,119.16,train
CCC1(Nc2ccc3nccnc3n2)CCN(C(=O)C(C)(C)C)CC1,255.08,train
C=Cc1ccc(CCn2c([C@@H]3CCC(=O)N3)nnc2N2CCC(C(=O)NCC(F)(F)F)CC2)cc1,310.36,train
Cn1cnnc1CN1CCC[C@@H]1[C@@H]1CCCN(C(=O)CCC2CC2)C1,231.79,train
CCN(c1cc(C)nc(CO)n1)[C@H](C)CNC(=O)CCCC(N)=O,218.99,train
CO[C@@H](CCn1c(CN2CCCC2=O)nnc1N1CCN2CCOC[C@H]2C1)C(F)(F)F,251.8,train
C[C@H]1CCC[C@@]1(C)C(=O)N1CCN(S(C)(=O)=O)CC1,175.02,train
CC1(C)[C@H](NC(=O)C(=O)Nc2ccccc2COc2ccccc2)[C@H]2CCCO[C@H]21,289.5,train
COc1cc(C)ccc1C(=O)N(C)C[C@@H](C)O,158.98,train
C[C@]1(c2ccccc2)CN(C(=O)N[C@H](Cn2cccn2)c2ccccc2)CCO1,271.11,train
C[C@H](c1nc(-c2cccs2)no1)N1CCN(C(=O)c2cccc3ncccc32)CC1,292.13,train
Cc1nccc(N2CC[C@@H](NC(=O)c3ccnnc3C)[C@H](O)C2)n1,221.69,train
C[C@H]1C(=O)CC[C@H](C(=O)NCc2ccnc(N3CCN(C)CC3)c2)C1(C)C,264.35,train
CC[C@@H](C)c1nnc(N2CCN(C(=O)N3CCOCC3)CC2)n1CCCCOCc1ccccc1,327.21,train
COc1cccc(CN2CC(NC(=O)C[C@H]3CCN(C)C3=O)C2)c1,224.53,train
CCN(CC(=O)OC)C[C@H](O)CC#N,117.77,train
CNS(=O)(=O)N1CC[C@@H]2OCC[C@@H]2C1,120.03,train
CC(C)CCCCC(=O)N1CC[C@@H](CNCc2cnn(C)n2)[C@H](C)C1,242.99,train
CCCN(CCNC(=O)C(=O)N1CC[C@H](C)C1)c1ncc(F)cn1,217.82,train
CN1C(=O)N[C@](C)(c2ccsc2)C1=O,125.37,train
COC(=O)CCCCNC(=O)c1csc(Cl)c1,163.86,train
COC(=O)c1cn(CCNC(=O)[C@H]2CCCO2)nn1,157.11,train
CCc1nnc(-c2ccc(NC(=O)NCCc3ccn(-c4ccc(F)cc4)n3)cc2)o1,303.97,train
CCOC(=O)[C@H](C)N(C)C(=O)[C@@H]1CCCSC1,161.77,train
Cn1cc(C(=O)NC[C@H]2COCCN2CC(F)(F)C(F)F)nn1,170.23,train
Cc1c[nH]nc1C(=O)N[C@@H]1CCCN(C(=O)c2n[nH]nc2C)[C@H]1C,209.61,train
O=C(NC/C=C\Cl)OC1CCOCC1,126.87,train
O=C(c1csc(Cl)c1)N1CCCCO1,137.96,train
Cc1sc(=O)n(CC(=O)N[C@@H]2CN(c3ncccn3)C[C@H]2C)c1C,229.12,train
COc1cc(C(=O)N[C@@H](C)c2cccc(NC(C)=O)c2)ccc1OC(F)F,239.67,train
CO[C@@H]1CCN(C(=O)[C@@H]2CCCS2)C1,137.23,train
CCS(=O)(=O)NC1(C(N)=O)CCCC1,121.79,train
CCSCCCNC(=O)CC(C)(C)C,152.77,train
COCc1nc(SCC[C@@H](C)F)n[nH]1,129.44,train
CS[C@@H](C)C(=O)N(C)C1CCCCC1,147.34,train
NC(=O)C[C@H](NC(=O)c1ccccc1F)C(=O)N1CCN(Cc2cccc(F)c2)C(=O)C1,272.63,train
CNC(=O)[C@@H](C)CN(C)c1nnc(-c2noc3c2COCC3)n1CCc1ccccc1C(F)(F)F,307.93,train
NC(=O)[C@@H]1CCN(c2ncc(Cl)s2)C1,140.19,train
COCCS(=O)(=O)Oc1ccccc1,125.89,train
CC(=O)Nc1ccc(C(=O)NCC2(O)CN(C(=O)C(C)C)C2)cc1,229.57,train
CC(CO)(CO)NC(=O)[C@@H]1COc2ccccc2O1,160.58,train
CC(C)c1ccc(NC(=O)C[C@@H]2C[N@H+](Cc3ccccc3)CCO2)c(C(=O)[O-])c1,273.8,train
